Ateneo;Fondo_TC;Fondo_TL;Eccellenza;Gigante_F;Gigante_M;Snowboard;Staffetta
COSENZA;6955;50;900;1205;4498;406;34
PADOVA;1928;1930;2023;2746;4558;300;240
MILANO STATALE;6000;812;1257;1504;2861;490;275
MILANO BICOCCA;4809;0;962;1697;2869;442;69
FIRENZE;1393;251;1136;932;4182;318;0
GENOVA;2527;303;1345;1016;2663;0;172
BOLOGNA;697;0;1236;807;3382;0;0
BRESCIA;1356;0;1239;769;1818;651;103
CA FOSCARI;1307;456;910;434;1545;504;137
CAMERINO;1319;326;820;621;1359;0;206
TRENTO;1112;872;247;805;447;0;309
CATANIA;1489;0;688;571;903;0;0
CAGLIARI;316;0;500;431;1131;0;0
PARMA;279;0;562;286;1023;0;0
ANCONA;830;151;57;553;168;0;0
CHIETI;0;0;0;232;1031;212;0
SIENA;0;0;489;0;938;0;0
PISA;0;0;0;35;1012;0;0
VARESE INSUBRIA;168;151;0;0;526;0;0
BERGAMO;0;0;0;0;69;0;0