Anno,Aosta,Bari,Bari Politecnico,Basilicata,Benevento Giustino Fortunato - telematica,Bergamo,Bologna,Bologna ISEF,Bolzano,Bra Scienze Gastronomiche,Brescia,Ca' Foscari Venezia,Cagliari,Calabria,Camerino,Casamassima - G.Degennaro,Cassino,Castellanza LIUC,Catania,Catanzaro,Chieti e Pescara,Enna KORE,Ferrara,Firenze,Firenze ISEF,Firenze IUL - telematica,Foggia,Genova,Insubria,L'Aquila,Macerata,Marche,Messina,Milano,Milano Bicocca,Milano Bocconi,Milano Cattolica,Milano ISEF,Milano ISEF Lombardia,Milano IULM,Milano Politecnico,Milano San Raffaele,Modena e Reggio Emilia,Molise,Napoli Benincasa,Napoli Federico II,Napoli ISEF,Napoli L'Orientale,Napoli Parthenope,Napoli Pegaso - telematica,Napoli Vanvitelli,Novedrate e-Campus - telematica,Padova,Palermo,Palermo ISEF,Parma,Pavia,Perugia,Perugia ISEF,Perugia Stranieri,Piemonte Orientale,Pisa,Reggio Calabria,Reggio Calabria - Dante Alighieri,Roma  Mercatorum - telematica,Roma Biomedico,Roma Europea,Roma Foro Italico,Roma La Sapienza,Roma Link Campus,Roma LUISS,Roma LUMSA,Roma Marconi - telematica,Roma Saint Camillus,Roma San Raffaele - telematica,Roma Tor Vergata,Roma Tre,Roma UNICUSANO - telematica,Roma UNINETTUNO - telematica,Roma UNINT,Roma UNITELMA - telematica,Rozzano (MI) Humanitas University,Salento,Salerno,Sannio,Sassari,Siena,Siena Stranieri,Teramo,Torino,Torino ISEF,Torino Politecnico,Torrevecchia Teatina Leonardo da Vinci - telematica,Trento,Trieste,Tuscia,Udine,Urbino,Urbino ISEF,Venezia Iuav,Verona
2000,65,49623,10846,5468,NA,7733,99130,1859,751,NA,12222,16257,37310,25599,9400,229,12236,2424,51472,10352,19006,NA,14481,56356,1256,NA,9362,35701,5895,13010,12273,13326,34172,58049,19990,10947,38297,287,1145,8297,38347,696,14195,7740,11657,92344,1219,9834,13702,NA,23942,NA,56884,58297,917,27362,21670,29268,520,1891,7809,45970,6281,NA,NA,484,NA,1608,139937,NA,5049,5052,NA,NA,NA,22514,28692,NA,NA,606,NA,NA,24778,38846,5183,15690,19054,100,9656,58132,5080,21674,NA,14213,25877,7824,14113,22119,642,8915,17595
2001,212,49869,10944,6416,NA,8938,99059,NA,1018,NA,12398,17233,34756,27105,9287,426,11769,2443,55033,9234,21762,NA,15295,58041,NA,NA,9677,35003,6274,14288,13043,13928,32736,60814,22819,12541,39304,NA,NA,8967,38842,873,14848,8265,11551,90152,NA,10656,15777,NA,26732,NA,56185,61314,NA,27710,22031,31151,NA,2189,8180,47924,8776,NA,NA,542,NA,1579,139345,NA,5250,5780,NA,NA,NA,28114,32270,NA,NA,771,NA,NA,26108,38273,5211,16270,19873,192,9833,53749,NA,22549,NA,14367,24069,8091,15293,22311,NA,8485,20344
2002,305,50168,10985,7081,NA,10583,101006,NA,1278,NA,12710,16828,33621,29193,9025,527,12148,2320,57707,10166,23617,NA,15961,59458,NA,NA,9968,34523,6955,15673,12996,14450,33008,61115,22945,12676,37970,NA,NA,8882,40154,1008,15484,9068,12643,94278,NA,10353,16582,NA,27395,NA,57848,62262,NA,28894,22268,33336,NA,2408,8408,49577,9296,NA,NA,626,NA,1289,132537,NA,5178,6586,NA,NA,NA,30490,35408,NA,NA,889,NA,NA,27702,38883,6060,15628,21089,262,9513,60741,NA,23402,NA,14510,23953,9974,16243,22083,NA,7883,20256
2003,518,57471,11326,7667,NA,11726,101530,NA,1440,NA,13026,16562,31328,30628,9647,784,12132,2356,61111,11424,26505,NA,17164,61079,NA,NA,10331,35613,7934,16826,12650,14616,33713,60252,27027,12231,37900,NA,NA,8084,39940,1168,16198,9697,13208,95919,NA,9503,16694,NA,27966,NA,59714,62756,NA,28221,22247,35409,NA,2501,9589,49644,9674,NA,NA,734,NA,1332,137273,NA,5245,6457,NA,NA,NA,32120,36796,NA,NA,1036,NA,NA,29595,38580,6943,15386,21566,341,10022,58896,NA,24069,NA,14356,23997,10193,16783,20704,NA,7186,21789
2004,609,60561,11435,7714,NA,12579,98277,NA,1731,73,13242,16679,32139,30826,9478,1148,13891,2017,62904,13508,30385,NA,17127,61421,NA,NA,10647,35640,8057,17843,12105,14929,36077,59763,26757,11658,38005,NA,NA,7012,39568,1345,16597,9769,12979,96663,NA,10379,16709,NA,28059,NA,60090,63630,NA,27973,21495,35354,NA,2069,9858,45614,9903,NA,NA,818,NA,1228,134812,NA,5482,6922,1529,NA,NA,33571,36034,NA,NA,1059,NA,NA,29532,37326,6906,15490,21083,419,10306,59227,NA,23966,NA,14832,20393,10304,16433,19597,NA,6833,21828
2005,784,61088,11401,7745,NA,13319,95771,NA,1959,122,13478,16695,34171,31511,9123,1384,13245,2025,62493,13051,35013,1078,17456,60436,NA,NA,10608,35229,8754,18974,12139,15087,35574,57707,27640,12515,37913,NA,NA,6271,38343,1688,16681,9698,12322,96400,NA,10250,16501,NA,27668,NA,59560,63350,NA,27321,21369,34128,NA,2737,9369,46696,9974,NA,NA,841,123,1400,132575,NA,5600,7761,3651,NA,NA,35195,35099,NA,175,3095,1363,NA,28775,39165,7261,15897,19824,459,10289,57649,NA,24193,81,15413,19377,10543,16636,17131,NA,6461,21902
2006,878,58352,11477,7678,115,13803,91886,NA,2045,181,13748,16831,33994,31771,9035,1196,12550,1959,62528,12472,33599,3500,16404,59729,NA,NA,10664,35494,8839,18602,12065,15615,35349,59320,26317,12726,38637,NA,NA,5842,37721,1835,16783,9584,11508,90101,NA,10170,16413,209,27713,NA,60803,63136,NA,26608,22118,34391,NA,2327,9371,47154,10309,NA,96,844,282,1298,128125,NA,6093,7742,7850,NA,48,36010,35574,738,559,1790,725,NA,27989,39029,7191,15441,18894,510,9623,60220,NA,24088,196,15530,19134,11646,16407,16515,NA,6173,20286
2007,959,58171,11305,8202,248,13637,87982,NA,2187,194,13927,17242,34293,32916,8757,1147,12143,1866,61893,11767,31502,3016,16752,58927,NA,NA,10882,35111,9125,19390,11898,15902,34975,57954,29004,12635,39378,NA,NA,5289,36232,1898,17472,9750,11166,89684,NA,10087,16828,1007,28564,279,60462,61119,NA,26644,22276,34008,NA,1988,9373,47699,10425,NA,104,887,494,1379,129747,NA,6434,7221,8741,NA,91,36369,34900,971,1630,1086,544,NA,27710,39003,7058,14686,19162,532,9110,64884,NA,24554,276,15424,18962,10325,16620,15978,NA,6011,21069
2008,1066,59574,12435,8379,425,14045,84319,NA,2361,214,14132,17330,32667,33516,8361,1044,11756,1853,58077,11336,29890,3871,17151,58828,NA,45,11182,35100,9172,22167,11522,16342,34360,58968,29470,12719,39135,NA,NA,4832,35434,1912,17765,9548,10834,87405,NA,9628,16779,1782,29596,2258,59920,63136,NA,27447,21739,32201,NA,1848,9470,50942,10255,117,122,1004,NA,1562,130277,NA,6816,6911,9813,NA,102,34950,34802,2581,2675,1185,696,NA,27243,39665,6909,14661,19004,531,8851,68534,NA,24741,375,15165,18979,9509,16362,15369,NA,5985,21305
2009,1092,59227,12619,8749,420,14707,82849,NA,2545,237,14512,17882,31705,33613,8008,1139,11639,1776,58255,11447,31955,4454,17802,55763,NA,23,11494,35080,9456,22906,11322,16846,33317,57614,30387,12758,40585,NA,NA,4409,35451,1959,18423,9564,10474,86202,NA,10009,16581,2764,30220,4710,60812,54020,NA,28934,21876,30832,NA,1730,9333,50042,9697,119,122,1096,804,1100,126374,NA,7050,6774,11307,NA,262,35454,35304,5666,3365,1246,914,NA,25868,37065,6716,14063,16239,588,8747,62986,NA,25787,365,15226,19038,8901,16336,14970,NA,5823,21642
2010,1244,57522,12424,8521,557,15035,80061,NA,3189,249,14440,17965,32981,34164,7774,1346,10682,1831,57763,10971,32401,6229,18008,55717,NA,20,10968,37075,9377,23493,11611,16616,32449,60458,31725,13272,39109,NA,NA,4458,38259,1952,19471,8074,10470,88161,NA,10528,17434,5923,29814,6211,61572,54754,NA,30581,22607,27607,NA,1476,9686,46586,9832,356,232,1338,838,1983,122854,NA,7716,6733,10171,NA,326,31907,38015,9217,5217,1355,1370,NA,23891,37373,7076,15215,17600,681,8303,66565,NA,26234,379,16425,19346,8966,16573,15139,NA,6034,23687
2011,1215,54881,11817,8393,488,14852,80075,NA,2830,254,14323,18312,30903,32962,7598,1292,10163,1836,54003,10185,31799,6151,17518,53500,NA,28,10474,36119,9006,24064,11020,16237,31106,60333,32445,13298,38020,NA,NA,4386,38717,1970,19397,7771,9792,87595,NA,10230,16365,3651,28979,6749,60710,50735,NA,28883,21940,26044,NA,1300,9768,46225,9339,527,213,1461,909,2117,119749,NA,7800,6607,10621,NA,439,31812,37061,10055,5917,1278,1672,NA,22134,36843,6735,14595,17803,776,7859,66278,NA,27823,350,16775,18847,8010,16029,15048,NA,5632,22939
2012,1208,51916,11186,7943,486,14533,78601,NA,2759,268,14218,18696,28973,31691,7305,1307,9140,1761,52629,10054,29954,5991,16658,51447,NA,24,10026,33878,8632,24325,10301,15880,28965,59982,32528,13419,37777,NA,NA,4245,39079,1988,19199,7486,9034,84668,NA,10367,15839,4669,28206,6151,59402,47283,NA,26548,21875,24970,NA,1224,9999,45189,8510,691,200,1538,940,2147,112614,NA,7753,6343,11368,NA,841,31069,35753,11483,8021,1208,1736,NA,20210,35828,6271,13987,16373,952,7090,65729,NA,28058,326,16555,17356,7243,15624,14445,NA,5182,22624
2013,1161,50166,10708,7458,544,14371,77645,NA,2652,264,14208,19380,27813,30675,6915,1300,8634,1759,49715,10441,28580,6026,15910,50321,NA,21,9630,32709,8525,23977,9844,15677,26597,60424,32169,13558,36790,NA,NA,4197,39799,2001,19575,7326,8471,82142,NA,10417,15508,8816,26676,6722,58403,44729,NA,25035,21536,22933,NA,1100,10096,45134,7649,766,251,1566,887,2207,106990,1187,7624,6023,12339,NA,965,30593,35403,11912,8594,1198,1679,NA,18877,35007,6195,13332,15776,1136,6690,65500,NA,29141,290,16538,16541,7435,15198,13968,NA,4730,21939
2014,1153,48665,10293,7228,626,14854,76936,NA,2758,295,14148,19173,26662,29118,6729,1247,8238,1817,45675,10774,27358,5958,15647,50945,NA,40,9567,32240,8866,21190,9731,15743,25511,60691,32161,13318,36458,NA,NA,4318,40075,2124,19718,7028,8292,80755,NA,10396,14372,10697,26334,7664,58686,42465,NA,23436,21269,22397,NA,990,10399,45342,6808,906,264,1642,806,2206,103417,1414,7706,5921,8489,NA,1394,30283,34786,14217,9240,1298,1583,141,17903,34923,5811,12819,15616,1395,6331,66066,NA,29870,207,16558,15575,7648,14948,13981,NA,4518,22082
2015,1117,46526,9797,6935,747,15634,77848,NA,3028,322,13969,19766,26235,27480,6487,1237,7853,1951,44414,10404,25750,5789,15511,50368,NA,109,9291,31378,8876,18066,9989,15633,23638,60430,32094,13239,36508,NA,NA,4664,40772,2323,20849,6956,8275,77997,NA,10652,13815,13001,25925,7863,58780,40185,NA,23107,21076,21573,NA,893,10769,45040,6268,964,290,1679,761,2229,100539,1747,8116,5918,9526,NA,2046,29674,33905,17209,9819,1405,1490,346,16985,34978,5492,12433,15466,1634,6198,66364,NA,30757,135,16240,15065,7854,14875,13870,NA,4268,22745
2016,1059,44348,9653,6710,782,16800,78547,NA,3293,319,13895,19817,25983,26738,6949,1367,7612,2040,42946,10353,24941,5514,15556,51083,NA,196,9787,31466,9330,16963,10199,15319,22823,59723,32729,13263,37154,NA,NA,5216,42420,2456,22181,6936,8286,76853,NA,10937,13002,19840,25399,9089,57541,39830,NA,23944,21372,22974,NA,882,11743,45219,5848,953,776,1682,840,2194,101045,1785,8671,5637,9435,NA,3056,29546,32401,20679,10518,1353,1492,526,16583,35355,5168,12870,15468,1883,6104,68432,NA,31261,153,16162,14837,8024,15026,13945,NA,4146,23184
2017,1050,43297,9757,6583,825,18103,79551,NA,3680,340,13969,20326,25158,26098,6789,1553,7246,2109,41768,10597,24200,5183,18398,51767,NA,225,10202,31941,10044,16140,10052,15206,22916,60602,33174,13427,38482,NA,NA,5733,43675,2600,23788,6895,8357,75297,NA,11207,12103,28599,24734,11380,58154,39312,NA,24844,22012,22994,NA,936,12131,44309,5270,861,1981,1780,1004,2174,100845,1876,9046,5652,9162,NA,4238,28609,31947,23606,11520,1302,1640,729,16624,35561,4840,13116,15736,2071,5856,71603,NA,31914,99,16257,15141,8109,14905,14144,NA,4002,23575
2018,1023,42801,9816,6418,941,19456,80180,NA,3757,361,13961,20789,24848,25338,6845,1502,7366,2285,39295,10785,23660,4822,20312,51732,NA,274,10351,30296,10692,15860,10207,15006,22448,59416,33140,13540,39879,NA,NA,6251,44643,2803,24953,6810,8380,74786,NA,11583,11369,37968,23896,15655,58822,39461,NA,25778,23121,23499,NA,1052,12646,44358,4934,781,2907,1842,1240,2131,102398,1847,9289,5743,9625,200,5473,27813,31211,25595,13190,1537,1751,952,17017,35335,4636,13235,15678,2156,5524,72872,NA,32523,72,16521,15326,7783,14857,14253,NA,3968,22862
2019,1016,42359,9867,6280,1257,21110,80177,NA,3961,372,14409,21075,25175,24482,6355,1596,7071,2488,38019,10929,22871,4764,22755,52527,NA,398,10455,30558,11384,15686,9981,14993,22585,61152,33565,13578,41233,NA,NA,6785,45449,2961,26719,6714,8519,74296,NA,11583,10786,49746,22775,21958,59997,40697,NA,26713,23323,23512,NA,1095,13129,44296,4864,690,6600,2018,1493,2086,104170,908,9472,6150,10265,558,6708,26848,30855,25457,15304,1768,2247,1184,17450,35133,4300,13307,15434,2174,5495,75000,NA,33039,60,16778,15505,7925,14849,14530,NA,3821,22553
2020,1038,42222,9939,6085,1775,20862,81859,NA,4066,392,14721,20802,24720,24207,6565,1571,7055,2761,38183,10812,22610,4844,25171,53480,NA,758,11349,32222,11725,15890,10048,14977,23452,61234,34387,13684,41655,NA,NA,7076,46426,3309,27489,6653,8510,75415,NA,11391,11017,66564,22319,32273,62904,41685,NA,28132,23729,26206,NA,1150,13694,44657,4855,600,18776,2230,1730,2159,104734,644,9717,6778,11215,1121,7967,27528,31861,25477,17236,1913,2871,1435,18290,35084,4079,13458,15898,2232,5535,77551,NA,33164,46,16585,15796,7902,14953,14811,NA,3967,23454
2021,985,40654,9837,5870,1950,19959,84542,NA,4043,358,14971,20579,24321,23488,5872,1601,7236,2850,37680,10891,21668,4702,26197,53691,NA,1047,12140,31894,11767,15865,9851,14761,23289,60986,35212,13734,42161,NA,NA,7397,46909,3884,26778,6562,8689,73732,NA,10998,11138,66780,22127,40903,65977,41494,NA,29154,24358,27001,NA,1074,13931,43617,4792,499,30642,2449,2063,2214,107755,526,10010,7625,12865,1871,8167,27993,31716,24744,15225,1850,2825,1636,18059,33392,3839,12688,15566,1983,5123,76260,NA,33263,69,16500,16009,7671,14550,14708,NA,4213,24149
2022,956,39972,9755,5772,2088,19303,84681,NA,3881,328,15129,18967,23660,23027,5709,1722,6983,2705,36547,10778,21097,4885,26055,53612,NA,1320,13112,31307,11414,15982,9198,14855,23689,58899,35569,13655,42227,NA,NA,7695,47556,4483,25713,6488,8601,71799,NA,9779,11996,90322,22813,46660,68712,41498,NA,29664,25070,27390,NA,938,13892,42467,4955,444,43852,2666,2026,2274,108176,594,10087,8441,15440,2435,10576,30275,31763,22092,14978,1632,3383,1806,18368,32770,3623,12222,15148,1788,4790,78799,NA,33642,306,16265,16295,7525,14299,13941,NA,4412,24897
