Anno,18-bis,DS1,DS1/S,L-01,L-02,L-03,L-04,L-05,L-06,L-07,L-08,L-09,L-10,L-11,L-12,L-13,L-14,L-15,L-16,L-17,L-18,L-19,L-20,L-21,L-22,L-23,L-24,L-25,L-26,L-27,L-28,L-29,L-30,L-31,L-32,L-33,L-34,L-35,L-36,L-37,L-38,L-39,L-40,L-41,L-42,L-43,L-P01,L-P02,L-P03,L-Sc.Mat.,L/DS,L/GASTR,L/SNT1,L/SNT2,L/SNT3,L/SNT4,LM-01,LM-02,LM-03,LM-04,LM-04cu,LM-05,LM-06,LM-07,LM-08,LM-09,LM-10,LM-11,LM-12,LM-13ante22,LM-14,LM-15,LM-16,LM-17,LM-18,LM-19,LM-20,LM-21,LM-22,LM-23,LM-24,LM-25,LM-26,LM-27,LM-28,LM-29,LM-30,LM-31,LM-32,LM-33,LM-34,LM-35,LM-36,LM-37,LM-38,LM-39,LM-40,LM-41,LM-42,LM-43,LM-44,LM-45,LM-46,LM-47,LM-48,LM-49,LM-50,LM-51,LM-52,LM-53,LM-53ante21,LM-54,LM-55,LM-56,LM-57,LM-58,LM-59,LM-60,LM-61,LM-62,LM-63,LM-64,LM-65,LM-66,LM-67,LM-68,LM-69,LM-70,LM-71,LM-72,LM-73,LM-74,LM-75,LM-76,LM-77,LM-78,LM-79,LM-80,LM-81,LM-82,LM-83,LM-84,LM-85,LM-85 bis,LM-86,LM-87,LM-88,LM-89,LM-90,LM-91,LM-92,LM-93,LM-94,LM-Data,LM-Sc.Mat.,LM/DS,LM/GASTR,LM/SC-GIUR,LM/SNT1,LM/SNT2,LM/SNT3,LM/SNT4,LMG/01,LMR/02,SNT1,SNT1/S,SNT2,SNT2/S,SNT3,SNT3/S,SNT4,SNT4/S
2010,3354,500,318,5723,5093,3662,2310,3482,175,8441,11863,17705,8451,12451,7882,9465,5796,2860,3863,4512,35687,13248,11002,1185,7224,2905,12690,3497,2955,3156,164,2701,2837,5053,3048,12859,1622,2589,11154,737,1614,4540,3124,1049,2307,517,NA,NA,NA,NA,NA,NA,2094,298,351,82,444,1049,146,3324,4474,208,3753,128,429,1348,46,199,918,9893,2765,690,693,1021,1083,1145,881,896,567,2482,886,457,99,825,421,1131,579,2707,2003,2631,182,1002,341,2498,2046,372,1098,9748,1009,36,181,203,822,137,383,666,802,6773,2152,NA,382,996,219,3247,494,93,1749,250,571,1356,1541,39,1153,35,1016,580,702,471,304,25,252,642,501,341,14957,1652,22,95,500,413,226,1068,2079,NA,171,1572,1169,1757,234,20,646,187,839,NA,NA,NA,NA,NA,68,9,NA,NA,30700,NA,15371,783,4221,330,3855,431,999,179
2011,NA,451,348,5596,4304,2957,2147,3602,221,8088,12086,18450,8702,13241,7964,7761,6029,2841,3545,3828,33891,12149,10215,757,6890,2424,11537,3840,3355,3469,199,2458,3082,5288,3480,12122,1504,2549,10523,704,1934,4280,2773,1014,2252,381,NA,NA,NA,NA,NA,NA,18111,4641,4264,950,347,934,195,3235,3940,164,3911,144,439,1317,23,110,865,8121,3058,718,817,1033,977,1037,698,915,715,2691,951,444,95,663,480,1008,856,2895,1817,2809,178,1074,347,2452,1914,444,1223,10250,959,36,244,199,833,132,389,572,782,7015,2180,NA,404,1048,278,3661,476,84,1772,251,481,1313,1266,51,990,24,1079,689,725,525,298,11,237,629,395,362,15331,1616,27,105,520,366,213,1182,2125,4323,223,1521,1079,1513,149,16,395,173,763,NA,NA,NA,NA,NA,829,311,350,161,29445,31,NA,NA,NA,NA,NA,NA,NA,NA
2012,NA,442,347,4894,4474,2867,2353,3284,235,7388,12116,18799,8354,13630,8388,8705,5130,2637,3364,3661,31794,12752,8850,671,7389,1919,10977,4118,3520,3403,250,2334,3031,5576,2534,11206,1721,2423,9592,784,2044,3835,2610,1159,1932,350,NA,NA,NA,NA,NA,NA,17107,4606,4026,1043,308,926,209,3454,3512,137,3835,127,397,1370,NA,124,885,7318,3052,729,847,1031,925,1050,735,932,786,2623,943,481,111,654,548,962,984,2634,1805,3004,212,969,308,2362,1980,445,1120,10357,918,37,223,185,898,91,334,563,778,7195,2030,NA,371,929,263,3631,461,64,1537,248,579,1122,1177,37,901,18,1230,692,677,596,258,9,271,591,410,366,15983,1681,37,82,485,458,300,1036,1963,4122,167,1539,946,1459,148,8,445,97,783,NA,NA,NA,NA,NA,982,442,446,197,25552,51,NA,NA,NA,NA,NA,NA,NA,NA
2013,NA,426,349,5051,3799,2709,2360,3448,187,6968,12683,18751,8258,13997,9027,7827,4698,2724,3079,3492,31142,12305,9059,539,8146,1556,11259,4865,3850,3419,242,1863,2924,6081,2385,11676,1523,2264,10135,792,1692,3993,2909,1072,2228,225,NA,NA,NA,NA,NA,NA,16411,4620,3810,963,331,962,179,3381,3296,151,3790,161,365,1340,NA,105,953,6612,3236,747,817,1136,933,1144,804,1013,781,2942,986,530,104,617,589,951,1092,2787,1884,3182,218,1109,276,2341,1975,448,1185,11786,750,41,216,147,1055,129,387,566,686,7391,2034,NA,447,1008,196,3530,438,87,1510,257,801,1005,1229,46,826,17,1283,824,727,689,267,30,260,721,452,393,15776,1701,42,91,536,460,315,1124,2151,4112,231,1593,860,1561,161,14,460,23,782,NA,NA,NA,NA,NA,944,511,452,196,23963,68,NA,NA,NA,NA,NA,NA,NA,NA
2014,NA,340,279,5204,3876,2958,2384,3404,191,5954,13397,19995,8593,14067,9422,7675,4480,2771,2935,3129,31861,12413,9323,658,8188,1281,10084,4419,3305,3254,261,1455,3074,6599,2444,10663,1377,2299,10679,780,1865,3893,2834,1149,2001,261,NA,NA,NA,NA,NA,NA,16112,4779,3648,917,344,985,146,3138,3227,146,3695,148,408,1359,NA,111,833,6522,3062,699,929,1168,983,1046,801,1093,729,2938,976,566,90,588,543,1015,1087,2891,1870,3344,159,1110,273,2247,2036,497,1248,16084,804,29,261,173,1378,167,340,563,832,7723,2296,NA,502,1011,159,3707,536,101,1610,250,973,925,1350,57,792,16,1444,857,829,787,219,26,362,769,434,343,15834,1600,28,96,519,549,318,1119,2106,4228,282,1544,811,1436,171,9,630,NA,899,NA,NA,NA,NA,NA,1058,444,440,230,20828,90,NA,NA,NA,NA,NA,NA,NA,NA
2015,NA,328,275,5102,4905,3018,2583,3628,208,5340,14169,21421,8559,14043,9563,8106,4384,2865,2613,2910,32878,12070,9982,604,8547,1073,10621,4410,3840,3961,263,2038,3675,7084,2664,10771,1278,2511,10867,698,1874,3557,2979,931,2266,227,NA,NA,NA,NA,NA,NA,15204,4546,3315,884,384,895,127,3032,2973,135,3604,159,400,1357,NA,120,946,6761,3033,663,982,1123,995,1012,918,1278,794,3152,1069,715,106,538,620,975,1218,2891,2155,3543,167,1138,309,2260,2130,596,1157,9501,667,52,325,167,723,135,273,553,798,7360,2301,NA,534,1016,144,3615,512,85,1472,298,1215,962,1278,46,722,19,1604,840,909,875,271,30,331,770,414,419,16130,1500,37,94,566,549,291,1159,2287,4460,270,1519,782,1385,186,40,586,NA,914,NA,NA,NA,NA,NA,993,534,388,251,19301,93,NA,NA,NA,NA,NA,NA,NA,NA
2016,NA,313,445,5761,5789,3300,3114,3909,259,5184,15189,22701,8777,14261,9536,8124,5556,2669,2222,3061,35167,13294,11172,500,10407,955,11501,4307,3609,3976,263,2298,3859,7766,3173,11160,1259,2754,11359,795,1950,3637,3144,1174,2391,217,NA,NA,NA,NA,195,NA,14553,4635,3186,820,460,836,137,3070,2789,141,3599,177,458,1589,NA,120,1108,7593,3340,702,994,1175,1202,837,964,1377,833,2886,1092,765,725,644,660,1050,1152,3310,2304,3929,153,1074,304,2557,2352,600,1131,9490,662,69,327,193,854,176,274,561,930,7749,2527,NA,578,1110,142,4066,609,112,1742,292,1568,1064,1422,58,779,62,1908,946,1018,1059,330,27,360,766,463,474,16695,1565,45,57,688,546,319,1180,2330,5066,299,1607,897,1550,198,65,658,NA,942,NA,NA,NA,NA,NA,1116,526,351,243,18971,93,NA,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,NA,6029,6579,3617,3047,3852,229,4855,15765,22792,9320,14199,9752,9375,5752,3079,2452,2878,37224,14776,11847,435,10842,855,11694,4030,3632,3992,390,2124,3721,8124,2729,11535,1291,3049,11098,653,1752,3852,3165,1200,2290,220,NA,NA,NA,NA,411,NA,14331,4420,3049,795,490,813,181,2834,2684,127,3589,205,560,1629,NA,140,1162,7093,3467,656,958,1217,1407,794,1025,1509,818,2887,1001,837,690,731,662,1136,1144,3492,2521,3970,128,1060,366,2829,2768,689,1166,9404,667,70,427,214,860,760,274,659,886,7902,2739,NA,722,1160,141,4908,560,98,1858,304,1750,1199,1403,32,815,118,2219,1004,1207,1141,290,24,364,717,491,543,17020,1596,40,77,700,556,339,1365,3729,5373,293,1638,930,1663,343,205,711,9,1029,NA,NA,287,NA,NA,1230,536,306,209,18448,111,NA,NA,NA,NA,NA,NA,NA,NA
2018,NA,NA,NA,5619,7079,3730,3280,3983,192,4643,16458,23842,9667,13651,9715,8880,6154,3049,2169,2414,38265,15130,12996,462,12310,1014,12328,3841,3550,4210,372,2150,3601,8257,3183,11863,1034,3355,11898,651,1673,4251,3201,1292,2393,147,NA,NA,NA,NA,385,300,14688,4627,3185,918,485,796,202,2704,1869,112,3716,231,626,1908,NA,123,1346,6964,3614,676,1206,1476,1585,855,1279,1822,980,2562,937,1035,618,706,670,1234,1101,3910,3059,4290,142,1088,303,3049,2886,822,1212,10164,810,108,503,221,1048,1133,257,759,900,8333,2946,NA,660,1282,146,5749,599,138,2144,359,1947,1198,1607,49,1060,152,2649,1086,1432,1308,386,51,374,725,555,574,17084,1773,46,122,674,623,349,1478,4208,5419,348,1856,1085,1723,292,310,876,24,1012,NA,NA,295,41,NA,1274,528,367,216,17930,100,NA,NA,NA,NA,NA,NA,NA,NA
2019,NA,NA,NA,5931,6962,3963,3492,4334,281,4947,17281,25564,10054,12945,10883,9245,7688,3279,2312,2370,40422,17722,13586,475,13985,1034,13598,3803,3282,3992,414,2159,3772,8624,3673,12234,935,3434,11550,614,1630,4368,3415,1476,2796,158,NA,NA,NA,NA,417,820,15238,4835,3408,936,535,795,227,2883,1961,150,3887,286,778,2105,NA,119,1495,6729,4150,684,1252,1633,1725,841,1433,1886,1093,2205,824,1032,963,867,730,1313,1205,4405,3586,4431,123,1054,380,3526,3054,996,1211,12042,785,146,550,177,1062,1897,248,769,1010,9166,3002,NA,754,1397,128,6444,590,134,2460,374,2134,1441,1630,44,1250,225,3369,1120,1416,1285,433,36,364,659,602,589,18481,1856,43,144,727,725,387,1542,5470,5912,377,1798,1067,1906,348,548,906,25,1190,NA,NA,390,44,123,1343,570,388,225,17909,92,NA,NA,NA,NA,NA,NA,NA,NA
2020,NA,NA,NA,6069,7483,5064,4379,4729,245,5003,17626,25218,10867,13833,10757,10178,9871,2959,2394,2700,43332,18919,15291,443,16176,903,17151,3917,3277,3832,556,2586,3745,9386,3488,12626,908,3310,12464,1023,1622,4462,4031,1609,3383,168,NA,NA,NA,NA,443,1264,16385,4919,3516,936,695,945,274,2924,2212,187,4519,304,804,2737,NA,124,1617,7174,4407,690,1324,1677,1947,1262,1511,2238,1150,2061,711,1203,1191,680,648,1358,1234,4872,3964,4387,193,1005,460,4085,3745,2477,1364,13522,927,201,646,299,1172,2713,316,851,1351,10104,3784,NA,734,1551,183,6964,637,138,3024,460,2901,1246,1660,92,1628,330,3783,1288,1308,1367,421,60,387,657,689,537,20308,1978,65,245,784,836,296,1780,6447,6450,370,1985,1162,2183,447,758,1157,42,1182,NA,NA,385,75,431,1534,615,459,217,18329,93,NA,NA,NA,NA,NA,NA,NA,NA
2021,NA,NA,NA,5777,7141,4761,4025,4596,190,4896,17094,25026,10874,12075,8885,10020,10964,2417,2471,2722,40416,19095,15141,488,15362,931,17525,3468,2617,3498,330,1688,3614,10153,3890,13093,863,2930,11626,700,1630,4180,3626,1743,3304,176,157,80,152,NA,435,1060,17614,5464,4391,1082,623,861,222,2609,2414,180,4088,338,815,2633,NA,137,1533,6563,4175,616,1282,1650,1682,1292,1443,2272,1041,1692,650,1147,966,758,605,1195,1196,4903,4048,4130,143,835,387,3715,3025,3084,1236,14829,910,242,730,241,1179,3373,296,831,1201,9618,3363,NA,626,1421,171,6332,504,143,2634,452,2977,1301,1575,146,1522,306,3366,1318,1171,1148,456,51,297,494,609,519,18448,1776,70,177,893,841,289,1639,5471,6563,354,1814,1111,1931,557,944,1089,165,962,NA,NA,391,57,495,1565,636,486,245,18285,85,NA,NA,NA,NA,NA,NA,NA,NA
2022,NA,NA,NA,5759,6484,5262,4537,5275,159,5508,18034,25097,11539,11683,7445,10774,12474,2515,2423,2914,42974,20640,15882,550,17541,996,20984,2955,2735,3514,324,1766,3791,11703,3558,13030,882,3382,12204,540,1569,3867,3428,1842,3592,131,305,178,246,33,392,935,18555,5469,4622,1027,560,838,255,2455,2709,183,3994,279,719,2641,NA,74,1513,6610,4029,645,1244,1588,1813,1056,1531,2227,1059,1606,637,1166,1051,772,691,1268,1367,5056,4085,3849,149,932,328,3211,2350,3667,1412,15347,1074,316,742,213,1159,3764,343,998,954,9764,3136,250,447,1380,279,5747,425,124,2741,428,3160,1285,1547,149,1347,306,3495,1171,1055,978,461,50,297,485,616,557,16920,1778,81,183,774,750,232,1679,5398,7237,360,1694,1117,1856,584,930,955,172,966,373,15,389,43,554,1667,670,487,239,18460,74,NA,NA,NA,NA,NA,NA,NA,NA
