DiplomaR,CorsoR,Iscritti
Abruzzo,Abruzzo,23611
Abruzzo,Calabria,11
Abruzzo,Campania,224
Abruzzo,Emilia-Romagna,3523
Abruzzo,Friuli Venezia Giulia,86
Abruzzo,Lazio,4108
Abruzzo,Liguria,38
Abruzzo,Lombardia,2153
Abruzzo,Marche,3027
Abruzzo,Molise,301
Abruzzo,Piemonte,851
Abruzzo,Puglia,40
Abruzzo,Sicilia,22
Abruzzo,Toscana,892
Abruzzo,Trentino-Alto Adige,145
Abruzzo,Umbria,411
Abruzzo,Veneto,628
Basilicata,Abruzzo,903
Basilicata,Basilicata,4208
Basilicata,Calabria,211
Basilicata,Campania,1970
Basilicata,Emilia-Romagna,1866
Basilicata,Friuli Venezia Giulia,52
Basilicata,Lazio,2113
Basilicata,Liguria,37
Basilicata,Lombardia,1079
Basilicata,Marche,264
Basilicata,Molise,49
Basilicata,Piemonte,793
Basilicata,Puglia,3198
Basilicata,Sardegna,6
Basilicata,Sicilia,25
Basilicata,Toscana,1362
Basilicata,Trentino-Alto Adige,57
Basilicata,Umbria,546
Basilicata,Veneto,238
Calabria,Abruzzo,524
Calabria,Basilicata,91
Calabria,Calabria,35039
Calabria,Campania,982
Calabria,Emilia-Romagna,3131
Calabria,Friuli Venezia Giulia,90
Calabria,Lazio,5774
Calabria,Liguria,139
Calabria,Lombardia,3398
Calabria,Marche,225
Calabria,Molise,12
Calabria,Piemonte,1321
Calabria,Puglia,400
Calabria,Sardegna,12
Calabria,Sicilia,4211
Calabria,Toscana,2655
Calabria,Trentino-Alto Adige,71
Calabria,Umbria,780
Calabria,Veneto,510
Campania,Abruzzo,2733
Campania,Basilicata,473
Campania,Calabria,329
Campania,Campania,148248
Campania,Emilia-Romagna,3826
Campania,Friuli Venezia Giulia,307
Campania,Lazio,12287
Campania,Liguria,224
Campania,Lombardia,4988
Campania,Marche,714
Campania,Molise,2011
Campania,Piemonte,1829
Campania,Puglia,801
Campania,Sardegna,394
Campania,Sicilia,184
Campania,Toscana,3154
Campania,Trentino-Alto Adige,149
Campania,Umbria,900
Campania,Veneto,1059
Emilia-Romagna,Abruzzo,137
Emilia-Romagna,Campania,124
Emilia-Romagna,Emilia-Romagna,83150
Emilia-Romagna,Friuli Venezia Giulia,186
Emilia-Romagna,Lazio,1181
Emilia-Romagna,Liguria,135
Emilia-Romagna,Lombardia,6957
Emilia-Romagna,Marche,3062
Emilia-Romagna,Molise,16
Emilia-Romagna,Piemonte,780
Emilia-Romagna,Puglia,20
Emilia-Romagna,Sardegna,24
Emilia-Romagna,Sicilia,15
Emilia-Romagna,Toscana,1557
Emilia-Romagna,Trentino-Alto Adige,585
Emilia-Romagna,Umbria,281
Emilia-Romagna,Veneto,2958
Estero,Abruzzo,1070
Estero,Basilicata,11
Estero,Calabria,1472
Estero,Campania,1789
Estero,Emilia-Romagna,6717
Estero,Friuli Venezia Giulia,1570
Estero,Lazio,15670
Estero,Liguria,2668
Estero,Lombardia,15641
Estero,Marche,2110
Estero,Molise,42
Estero,Piemonte,10251
Estero,Puglia,1033
Estero,Sardegna,423
Estero,Sicilia,2684
Estero,Toscana,6890
Estero,Trentino-Alto Adige,1343
Estero,Umbria,1682
Estero,Valle D’Aosta,47
Estero,Veneto,8790
Friuli Venezia Giulia,Abruzzo,42
Friuli Venezia Giulia,Campania,27
Friuli Venezia Giulia,Emilia-Romagna,1383
Friuli Venezia Giulia,Friuli Venezia Giulia,19101
Friuli Venezia Giulia,Lazio,421
Friuli Venezia Giulia,Liguria,14
Friuli Venezia Giulia,Lombardia,1267
Friuli Venezia Giulia,Marche,66
Friuli Venezia Giulia,Piemonte,344
Friuli Venezia Giulia,Sardegna,12
Friuli Venezia Giulia,Toscana,351
Friuli Venezia Giulia,Trentino-Alto Adige,411
Friuli Venezia Giulia,Umbria,75
Friuli Venezia Giulia,Veneto,4704
Lazio,Abruzzo,3622
Lazio,Calabria,88
Lazio,Campania,1544
Lazio,Emilia-Romagna,2174
Lazio,Friuli Venezia Giulia,199
Lazio,Lazio,137990
Lazio,Liguria,211
Lazio,Lombardia,3356
Lazio,Marche,682
Lazio,Molise,254
Lazio,Piemonte,1166
Lazio,Puglia,150
Lazio,Sardegna,104
Lazio,Sicilia,131
Lazio,Toscana,2458
Lazio,Trentino-Alto Adige,341
Lazio,Umbria,1781
Lazio,Valle D’Aosta,5
Lazio,Veneto,970
Liguria,Abruzzo,45
Liguria,Calabria,5
Liguria,Campania,34
Liguria,Emilia-Romagna,1251
Liguria,Friuli Venezia Giulia,26
Liguria,Lazio,500
Liguria,Liguria,22910
Liguria,Lombardia,2776
Liguria,Marche,19
Liguria,Piemonte,2478
Liguria,Puglia,12
Liguria,Sardegna,37
Liguria,Toscana,2806
Liguria,Trentino-Alto Adige,108
Liguria,Umbria,96
Liguria,Valle D’Aosta,8
Liguria,Veneto,342
Lombardia,Abruzzo,239
Lombardia,Calabria,30
Lombardia,Campania,211
Lombardia,Emilia-Romagna,11218
Lombardia,Friuli Venezia Giulia,333
Lombardia,Lazio,1664
Lombardia,Liguria,986
Lombardia,Lombardia,179054
Lombardia,Marche,367
Lombardia,Molise,10
Lombardia,Piemonte,4739
Lombardia,Puglia,48
Lombardia,Sardegna,167
Lombardia,Sicilia,127
Lombardia,Toscana,1503
Lombardia,Trentino-Alto Adige,1585
Lombardia,Umbria,357
Lombardia,Valle D’Aosta,22
Lombardia,Veneto,7088
Marche,Abruzzo,1710
Marche,Campania,83
Marche,Emilia-Romagna,6181
Marche,Friuli Venezia Giulia,130
Marche,Lazio,2098
Marche,Liguria,29
Marche,Lombardia,2353
Marche,Marche,27700
Marche,Molise,7
Marche,Piemonte,611
Marche,Sardegna,5
Marche,Sicilia,13
Marche,Toscana,958
Marche,Trentino-Alto Adige,303
Marche,Umbria,1611
Marche,Veneto,1358
Molise,Abruzzo,1415
Molise,Campania,545
Molise,Emilia-Romagna,1014
Molise,Friuli Venezia Giulia,11
Molise,Lazio,1305
Molise,Liguria,5
Molise,Lombardia,417
Molise,Marche,359
Molise,Molise,3403
Molise,Piemonte,264
Molise,Puglia,102
Molise,Sicilia,5
Molise,Toscana,388
Molise,Trentino-Alto Adige,17
Molise,Umbria,141
Molise,Veneto,124
Piemonte,Abruzzo,139
Piemonte,Calabria,34
Piemonte,Campania,83
Piemonte,Emilia-Romagna,1538
Piemonte,Friuli Venezia Giulia,120
Piemonte,Lazio,945
Piemonte,Liguria,2428
Piemonte,Lombardia,10496
Piemonte,Marche,120
Piemonte,Molise,9
Piemonte,Piemonte,70223
Piemonte,Puglia,41
Piemonte,Sardegna,129
Piemonte,Sicilia,84
Piemonte,Toscana,696
Piemonte,Trentino-Alto Adige,189
Piemonte,Umbria,159
Piemonte,Valle D’Aosta,241
Piemonte,Veneto,935
Puglia,Abruzzo,3989
Puglia,Basilicata,1085
Puglia,Calabria,175
Puglia,Campania,1289
Puglia,Emilia-Romagna,8121
Puglia,Friuli Venezia Giulia,362
Puglia,Lazio,7442
Puglia,Liguria,158
Puglia,Lombardia,6847
Puglia,Marche,1820
Puglia,Molise,945
Puglia,Piemonte,3886
Puglia,Puglia,71351
Puglia,Sicilia,131
Puglia,Toscana,2974
Puglia,Trentino-Alto Adige,575
Puglia,Umbria,805
Puglia,Veneto,1554
Sardegna,Abruzzo,100
Sardegna,Campania,176
Sardegna,Emilia-Romagna,1536
Sardegna,Friuli Venezia Giulia,132
Sardegna,Lazio,1183
Sardegna,Liguria,182
Sardegna,Lombardia,1332
Sardegna,Marche,164
Sardegna,Piemonte,1292
Sardegna,Puglia,5
Sardegna,Sardegna,32300
Sardegna,Toscana,1342
Sardegna,Trentino-Alto Adige,96
Sardegna,Umbria,188
Sardegna,Veneto,741
Sconosciuta,Abruzzo,354
Sconosciuta,Basilicata,293
Sconosciuta,Calabria,1585
Sconosciuta,Campania,3563
Sconosciuta,Emilia-Romagna,5044
Sconosciuta,Friuli Venezia Giulia,395
Sconosciuta,Lazio,17494
Sconosciuta,Liguria,32
Sconosciuta,Lombardia,16459
Sconosciuta,Marche,407
Sconosciuta,Molise,197
Sconosciuta,Piemonte,16395
Sconosciuta,Puglia,6245
Sconosciuta,Sardegna,2210
Sconosciuta,Sicilia,33510
Sconosciuta,Toscana,1010
Sconosciuta,Trentino-Alto Adige,123
Sconosciuta,Umbria,135
Sconosciuta,Valle D’Aosta,18
Sconosciuta,Veneto,566
Sicilia,Abruzzo,687
Sicilia,Calabria,566
Sicilia,Campania,412
Sicilia,Emilia-Romagna,6541
Sicilia,Friuli Venezia Giulia,450
Sicilia,Lazio,6597
Sicilia,Liguria,330
Sicilia,Lombardia,6425
Sicilia,Marche,507
Sicilia,Molise,8
Sicilia,Piemonte,4540
Sicilia,Puglia,163
Sicilia,Sardegna,70
Sicilia,Sicilia,70742
Sicilia,Toscana,4309
Sicilia,Trentino-Alto Adige,487
Sicilia,Umbria,809
Sicilia,Veneto,1907
Toscana,Abruzzo,151
Toscana,Campania,156
Toscana,Emilia-Romagna,4338
Toscana,Friuli Venezia Giulia,91
Toscana,Lazio,2404
Toscana,Liguria,449
Toscana,Lombardia,2911
Toscana,Marche,184
Toscana,Piemonte,935
Toscana,Puglia,10
Toscana,Sardegna,22
Toscana,Sicilia,6
Toscana,Toscana,76472
Toscana,Trentino-Alto Adige,198
Toscana,Umbria,2187
Toscana,Veneto,1082
Trentino-Alto Adige,Abruzzo,44
Trentino-Alto Adige,Campania,25
Trentino-Alto Adige,Emilia-Romagna,2115
Trentino-Alto Adige,Friuli Venezia Giulia,172
Trentino-Alto Adige,Lazio,287
Trentino-Alto Adige,Liguria,35
Trentino-Alto Adige,Lombardia,1413
Trentino-Alto Adige,Marche,95
Trentino-Alto Adige,Piemonte,219
Trentino-Alto Adige,Sardegna,20
Trentino-Alto Adige,Toscana,496
Trentino-Alto Adige,Trentino-Alto Adige,8990
Trentino-Alto Adige,Umbria,66
Trentino-Alto Adige,Veneto,4040
Umbria,Abruzzo,234
Umbria,Calabria,6
Umbria,Campania,55
Umbria,Emilia-Romagna,1158
Umbria,Friuli Venezia Giulia,35
Umbria,Lazio,3101
Umbria,Liguria,26
Umbria,Lombardia,836
Umbria,Marche,664
Umbria,Piemonte,359
Umbria,Sardegna,5
Umbria,Sicilia,20
Umbria,Toscana,1136
Umbria,Trentino-Alto Adige,95
Umbria,Umbria,16074
Umbria,Veneto,302
Valle D’Aosta,Emilia-Romagna,109
Valle D’Aosta,Friuli Venezia Giulia,14
Valle D’Aosta,Lazio,30
Valle D’Aosta,Liguria,36
Valle D’Aosta,Lombardia,269
Valle D’Aosta,Piemonte,1162
Valle D’Aosta,Toscana,59
Valle D’Aosta,Trentino-Alto Adige,7
Valle D’Aosta,Valle D’Aosta,579
Valle D’Aosta,Veneto,61
Veneto,Abruzzo,191
Veneto,Calabria,5
Veneto,Campania,107
Veneto,Emilia-Romagna,12809
Veneto,Friuli Venezia Giulia,6131
Veneto,Lazio,1461
Veneto,Liguria,113
Veneto,Lombardia,5724
Veneto,Marche,417
Veneto,Piemonte,852
Veneto,Puglia,16
Veneto,Sardegna,42
Veneto,Sicilia,54
Veneto,Toscana,1238
Veneto,Trentino-Alto Adige,4926
Veneto,Umbria,266
Veneto,Veneto,79994
